0.000000000	192.168.32.130	142.250.184.3	52
0.007992073	192.168.32.130	172.217.168.174	52
0.019125980	142.250.184.3	192.168.32.130	52
0.033092676	172.217.168.174	192.168.32.130	52
5.456566017	172.217.17.10	192.168.32.130	58
5.456627618	172.217.17.10	192.168.32.130	58
5.457041295	192.168.32.130	172.217.17.10	61
10.894751165	142.250.184.3	192.168.32.130	125
10.894822878	192.168.32.130	142.250.184.3	52
11.490466895	172.217.168.174	192.168.32.130	125
11.490535986	192.168.32.130	172.217.168.174	52
11.490552841	172.217.168.174	192.168.32.130	125
11.490568456	192.168.32.130	172.217.168.174	64
15.297647404	172.217.17.10	192.168.32.130	58
15.297707426	172.217.17.10	192.168.32.130	58
15.298176930	192.168.32.130	172.217.17.10	61
16.027276789	142.250.184.3	192.168.32.130	52
16.027331113	192.168.32.130	142.250.184.3	64
16.027344442	142.250.184.3	192.168.32.130	108
16.027362341	192.168.32.130	142.250.184.3	52
16.027366508	142.250.184.3	192.168.32.130	52
16.027378217	192.168.32.130	142.250.184.3	64
16.058479052	142.250.184.3	192.168.32.130	53
16.058542957	192.168.32.130	142.250.184.3	64
16.258598302	192.168.32.130	193.136.172.20	82
16.269385020	172.217.168.174	192.168.32.130	52
16.269410549	192.168.32.130	172.217.168.174	64
16.269416474	172.217.168.174	192.168.32.130	108
16.269422840	192.168.32.130	172.217.168.174	52
16.271960182	193.136.172.20	192.168.32.130	127
16.272582709	192.168.32.130	142.250.185.1	1378
16.333110823	142.250.185.1	192.168.32.130	1378
16.333135320	142.250.185.1	192.168.32.130	1378
16.333232419	142.250.185.1	192.168.32.130	1378
16.333389004	192.168.32.130	142.250.185.1	69
16.334436635	142.250.185.1	192.168.32.130	1378
16.334447826	142.250.185.1	192.168.32.130	1378
16.334589778	192.168.32.130	142.250.185.1	69
16.350921187	192.168.32.130	193.136.172.20	71
16.371535298	142.250.185.1	192.168.32.130	211
16.371550204	193.136.172.20	192.168.32.130	87
16.372197420	192.168.32.130	216.58.215.132	1378
16.373397848	192.168.32.130	142.250.185.1	69
16.374869724	192.168.32.130	142.250.185.1	101
16.374984998	192.168.32.130	142.250.185.1	100
16.375181495	192.168.32.130	142.250.185.1	562
16.395072931	142.250.185.1	192.168.32.130	1378
16.395087968	142.250.185.1	192.168.32.130	104
16.395221524	192.168.32.130	142.250.185.1	61
16.398460215	142.250.185.1	192.168.32.130	55
16.400455656	142.250.185.1	192.168.32.130	1374
16.400477944	142.250.185.1	192.168.32.130	1378
16.400481315	142.250.185.1	192.168.32.130	1378
16.400696178	192.168.32.130	142.250.185.1	63
16.400751587	192.168.32.130	142.250.185.1	61
16.402396546	192.168.32.130	172.217.168.174	52
16.402446712	192.168.32.130	142.250.184.3	52
16.402537195	192.168.32.130	216.58.215.132	60
16.408014368	142.250.185.1	192.168.32.130	1378
16.408038056	142.250.185.1	192.168.32.130	1378
16.408041240	142.250.185.1	192.168.32.130	1378
16.408165052	192.168.32.130	142.250.185.1	61
16.409182247	142.250.185.1	192.168.32.130	1378
16.409202051	142.250.185.1	192.168.32.130	1378
16.409315895	192.168.32.130	142.250.185.1	61
16.411986175	142.250.185.1	192.168.32.130	1378
16.412005512	142.250.185.1	192.168.32.130	1378
16.412008524	142.250.185.1	192.168.32.130	1378
16.412112040	192.168.32.130	142.250.185.1	61
16.412183118	192.168.32.130	142.250.185.1	61
16.412405356	142.250.185.1	192.168.32.130	1378
16.412432255	142.250.185.1	192.168.32.130	1378
16.412532370	142.250.185.1	192.168.32.130	1378
16.412604811	192.168.32.130	142.250.185.1	61
16.432332157	192.168.32.130	216.58.215.132	1378
16.438586007	192.168.32.130	142.250.185.1	61
16.448682734	142.250.185.1	192.168.32.130	1378
16.449146275	142.250.185.1	192.168.32.130	1378
16.449158966	142.250.185.1	192.168.32.130	1378
16.449217665	192.168.32.130	142.250.185.1	61
16.449265921	142.250.185.1	192.168.32.130	1378
16.449296823	192.168.32.130	142.250.185.1	61
16.449612801	142.250.185.1	192.168.32.130	1378
16.449630491	216.58.215.132	192.168.32.130	1378
16.449638816	216.58.215.132	192.168.32.130	254
16.449640792	216.58.215.132	192.168.32.130	91
16.449752632	142.250.185.1	192.168.32.130	1378
16.450133943	142.250.185.1	192.168.32.130	1378
16.450148063	216.58.215.132	192.168.32.130	60
16.450174075	192.168.32.130	216.58.215.132	52
16.450181223	142.250.185.1	192.168.32.130	1378
16.450209403	192.168.32.130	142.250.185.1	61
16.450298163	142.250.185.1	192.168.32.130	1378
16.450392914	192.168.32.130	142.250.185.1	61
16.450533009	142.250.185.1	192.168.32.130	1378
16.450538958	142.250.185.1	192.168.32.130	1378
16.450588085	192.168.32.130	216.58.215.132	569
16.450651400	142.250.185.1	192.168.32.130	1378
16.450720268	192.168.32.130	142.250.185.1	61
16.450752181	192.168.32.130	142.250.185.1	61
16.451086204	192.168.32.130	216.58.215.132	1378
16.451094811	142.250.185.1	192.168.32.130	1378
16.451102987	142.250.185.1	192.168.32.130	1378
16.451118791	142.250.185.1	192.168.32.130	1378
16.451232462	192.168.32.130	142.250.185.1	61
16.451559481	142.250.185.1	192.168.32.130	1378
16.451570516	142.250.185.1	192.168.32.130	1378
16.451618497	192.168.32.130	142.250.185.1	61
16.451681813	142.250.185.1	192.168.32.130	1378
16.451708844	192.168.32.130	142.250.185.1	61
16.452044507	142.250.185.1	192.168.32.130	1378
16.452059058	142.250.185.1	192.168.32.130	1378
16.452120641	192.168.32.130	142.250.185.1	61
16.452180811	142.250.185.1	192.168.32.130	1378
16.453238594	142.250.185.1	192.168.32.130	1378
16.453255557	142.250.185.1	192.168.32.130	1378
16.453258539	142.250.185.1	192.168.32.130	171
16.453290074	192.168.32.130	216.58.215.132	101
16.453434514	192.168.32.130	216.58.215.132	98
16.453605652	192.168.32.130	142.250.185.1	61
16.453654531	192.168.32.130	142.250.185.1	61
16.453819001	192.168.32.130	216.58.215.132	907
16.453921563	192.168.32.130	216.58.215.132	122
16.457827970	192.168.32.130	216.58.215.132	111
16.467042993	216.58.215.132	192.168.32.130	1378
